GeoFips,GeoName,Income
54091,Taylor WV,32192
54093,Tucker WV,33970
54095,Tyler WV,31283
54097,Upshur WV,31399
54099,Wayne WV,28183
54101,Webster WV,25723
54103,Wetzel WV,29626
54105,Wirt WV,27505
54107,Wood WV,36088
54109,Wyoming WV,28506
51001,Accomack VA,35201
51901,Albemarle VA*,56794
51510,Alexandria (Independent City) VA,80527
51903,Alleghany VA*,34424
51007,Amelia VA,35473
51009,Amherst VA,31196
51011,Appomattox VA,31611
51013,Arlington VA,83491
51907,Augusta VA*,36809
51017,Bath VA,47882
51019,Bedford VA*,39060
51021,Bland VA,30267
51023,Botetourt VA,42514
51953,Bristol VA*,37814
51025,Brunswick VA,27679
51027,Buchanan VA,32189
51029,Buckingham VA,25259
51945,Buena Vista VA*,33609
51911,Campbell VA*,33750
51033,Caroline VA,36099
51913,Carroll VA*,29446
51036,Charles City VA,37094
51037,Charlotte VA,28700
51901,Charlottesville VA*,56794
51550,Chesapeake (Independent City) VA,44038
51041,Chesterfield VA,45556
51043,Clarke VA,52885
51918,Colonial Heights VA*,35530
51903,Covington VA*,34424
51045,Craig VA,32750
51047,Culpeper VA,40359
51049,Cumberland VA,30638
51939,Danville VA*,30175
51051,Dickenson VA,28066
51918,Dinwiddie VA*,35530
51923,Emporia VA*,26340
51057,Essex VA,35621
51919,Fairfax VA*,72151
51919,Fairfax City VA*,72151
51919,Falls Church VA*,72151
51061,Fauquier VA,60975
51063,Floyd VA,32162
51065,Fluvanna VA,36896
51067,Franklin VA,34500
51949,Franklin VA*,34496
51921,Frederick VA*,42026
51951,Fredericksburg VA*,44229
51913,Galax VA*,29446
51071,Giles VA,33354
51073,Gloucester VA,42292
51075,Goochland VA,81879
51077,Grayson VA,27727
51079,Greene VA,36382
51923,Greensville VA*,26340
51083,Halifax VA,30043
51650,Hampton (Independent City) VA,36894
51085,Hanover VA,48443
51947,Harrisonburg VA*,32613
51087,Henrico VA,52241
51929,Henry VA*,31912
51091,Highland VA,37074
51941,Hopewell VA*,33226
51093,Isle of Wight VA,48095
51931,James City VA*,55505
51097,King and Queen VA,34909
51099,King George VA,47422
51101,King William VA,39221
51103,Lancaster VA,47400
51105,Lee VA,26617
51945,Lexington VA*,33609
51107,Loudoun VA,69127
51109,Louisa VA,36308
51111,Lunenburg VA,27380
51911,Lynchburg VA*,33750
51113,Madison VA,40038
51942,Manassas VA*,48593
51942,Manassas Park VA*,48593
51929,Martinsville VA*,31912
51115,Mathews VA,47508
51117,Mecklenburg VA,31334
51119,Middlesex VA,41868
51933,Montgomery VA*,29637
51125,Nelson VA,41607
51127,New Kent VA,61034
51700,Newport News (Independent City) VA,36991
51710,Norfolk (Independent City) VA,35795
51131,Northampton VA,38903
51133,Northumberland VA,41649
51955,Norton VA*,30612
51135,Nottoway VA,28913
51137,Orange VA,42268
51139,Page VA,31829
51141,Patrick VA,27957
51918,Petersburg VA*,35530
51939,Pittsylvania VA*,30175
51958,Poquoson VA*,51311
51740,Portsmouth (Independent City) VA,35015
51145,Powhatan VA,43725
51147,Prince Edward VA,26061
51941,Prince George VA*,33226
51942,Prince William VA*,48593
51155,Pulaski VA,33393
51933,Radford VA*,29637
51157,Rappahannock VA,54079
51159,Richmond VA,29674
51760,Richmond (Independent City) VA,48146
51944,Roanoke VA*,44999
51770,Roanoke (Independent City) VA,38277
51945,Rockbridge VA*,33609
51947,Rockingham VA*,32613
51167,Russell VA,30015
51944,Salem VA*,44999
51169,Scott VA,28506
51171,Shenandoah VA,35925
51173,Smyth VA,30548
51949,Southampton VA*,34496
51951,Spotsylvania VA*,44229
51179,Stafford VA,49490
51907,Staunton VA*,36809
51800,Suffolk (Independent City) VA,45646
51181,Surry VA,34997
51183,Sussex VA,27038
51185,Tazewell VA,33668
51810,Virginia Beach (Independent City) VA,48178
51187,Warren VA,39780
51953,Washington VA*,37814
51907,Waynesboro VA*,36809
51193,Westmoreland VA,36126
51931,Williamsburg VA*,55505
51921,Winchester VA*,42026
51955,Wise VA*,30612
51197,Wythe VA,29850
51958,York VA*,51311
50001,Addison VT,44698
50003,Bennington VT,43688
50005,Caledonia VT,35569
50007,Chittenden VT,50572
50009,Essex VT,32064
50011,Franklin VT,39313
50013,Grand Isle VT,50513
50015,Lamoille VT,44278
50017,Orange VT,39625
50019,Orleans VT,37821
50021,Rutland VT,43447
50023,Washington VT,48064
50025,Windham VT,42005
50027,Windsor VT,46928
44001,Bristol RI,64361
44003,Kent RI,49103
44005,Newport RI,55794
44007,Providence RI,39661
44009,Washington RI,54200
42001,Adams PA,39924
42003,Allegheny PA,49069
42005,Armstrong PA,38428
42007,Beaver PA,39647
42009,Bedford PA,34544
42011,Berks PA,41416
42013,Blair PA,37573
42015,Bradford PA,36446
42017,Bucks PA,58443
42019,Butler PA,48273
42021,Cambria PA,35345
42023,Cameron PA,38525
42025,Carbon PA,39618
42027,Centre PA,38765
42029,Chester PA,67790
42031,Clarion PA,36153
42033,Clearfield PA,36906
42035,Clinton PA,33057
42037,Columbia PA,34878
42039,Crawford PA,33931
42041,Cumberland PA,46362
42043,Dauphin PA,42252
42045,Delaware PA,52689
42047,Elk PA,39097
42049,Erie PA,37774
42051,Fayette PA,35306
42053,Forest PA,20098
42055,Franklin PA,38471
42057,Fulton PA,34845
42059,Greene PA,37055
42061,Huntingdon PA,31450
42063,Indiana PA,33555
42065,Jefferson PA,36315
42067,Juniata PA,33488
42069,Lackawanna PA,39204
42071,Lancaster PA,40747
42073,Lawrence PA,37039
42075,Lebanon PA,38722
42077,Lehigh PA,44653
42079,Luzerne PA,37092
42081,Lycoming PA,37431
42083,McKean PA,38576
42085,Mercer PA,34464
42087,Mifflin PA,31925
42089,Monroe PA,33785
42091,Montgomery PA,69139
42093,Montour PA,46057
42095,Northampton PA,43189
42097,Northumberland PA,34407
42099,Perry PA,36843
42101,Philadelphia PA,45008
42103,Pike PA,37161
42105,Potter PA,33483
42107,Schuylkill PA,34442
42109,Snyder PA,35071
42111,Somerset PA,35274
42113,Sullivan PA,38453
42115,Susquehanna PA,35971
42117,Tioga PA,35055
42119,Union PA,33448
42121,Venango PA,35201
42123,Warren PA,36543
42125,Washington PA,46857
42127,Wayne PA,35477
42129,Westmoreland PA,43591
42131,Wyoming PA,38084
42133,York PA,41751
36001,Albany NY,49065
36003,Allegany NY,29735
36005,Bronx NY,28960
36007,Broome NY,36838
36009,Cattaraugus NY,33896
36011,Cayuga NY,35925
36013,Chautauqua NY,33756
36015,Chemung NY,37028
36017,Chenango NY,34629
36019,Clinton NY,36960
36021,Columbia NY,45446
36023,Cortland NY,33915
36025,Delaware NY,32522
36027,Dutchess NY,45819
36029,Erie NY,41776
36031,Essex NY,37667
36033,Franklin NY,33160
36035,Fulton NY,34726
36037,Genesee NY,36570
36039,Greene NY,38917
36041,Hamilton NY,41921
36043,Herkimer NY,35119
36045,Jefferson NY,42234
36047,Kings NY,36905
36049,Lewis NY,38658
36051,Livingston NY,35871
36053,Madison NY,36686
36055,Monroe NY,45064
36057,Montgomery NY,35185
36059,Nassau NY,73174
36061,New York NY,132764
36063,Niagara NY,36995
36065,Oneida NY,37309
36067,Onondaga NY,42879
36069,Ontario NY,42714
36071,Orange NY,42684
36073,Orleans NY,32258
36075,Oswego NY,33676
36077,Otsego NY,35555
36079,Putnam NY,62191
36081,Queens NY,37950
36083,Rensselaer NY,40322
36085,Richmond NY,45396
36087,Rockland NY,51730
36091,Saratoga NY,52998
36093,Schenectady NY,42337
36095,Schoharie NY,33132
36097,Schuyler NY,35343
36099,Seneca NY,33051
36089,St. Lawrence NY,31201
36101,Steuben NY,37249
36103,Suffolk NY,55453
36105,Sullivan NY,36694
36107,Tioga NY,38129
36109,Tompkins NY,37390
36111,Ulster NY,40857
36113,Warren NY,43125
36115,Washington NY,33502
36117,Wayne NY,37353
36119,Westchester NY,85832
36121,Wyoming NY,33534
36123,Yates NY,33523
39001,Adams OH,28125
39003,Allen OH,35342
39005,Ashland OH,31765
39007,Ashtabula OH,31897
39009,Athens OH,29555
39011,Auglaize OH,39998
39013,Belmont OH,33191
39015,Brown OH,30873
39017,Butler OH,38283
39019,Carroll OH,32520
39021,Champaign OH,34021
39023,Clark OH,34186
39025,Clermont OH,41252
39027,Clinton OH,38288
39029,Columbiana OH,32797
39031,Coshocton OH,29635
39033,Crawford OH,32398
39035,Cuyahoga OH,44646
39037,Darke OH,35221
39039,Defiance OH,34077
39041,Delaware OH,60989
39043,Erie OH,56742
39045,Fairfield OH,38897
39047,Fayette OH,32186
39049,Franklin OH,44113
39051,Fulton OH,36851
39053,Gallia OH,34745
39055,Geauga OH,56817
39057,Greene OH,41406
39059,Guernsey OH,32827
39061,Hamilton OH,49240
39063,Hancock OH,41077
39065,Hardin OH,29264
39067,Harrison OH,30697
39069,Henry OH,37246
39071,Highland OH,29919
39073,Hocking OH,31047
39075,Holmes OH,30800
39077,Huron OH,33475
39079,Jackson OH,30503
39081,Jefferson OH,32589
39083,Knox OH,35943
39085,Lake OH,41962
39087,Lawrence OH,32473
39089,Licking OH,38189
39091,Logan OH,35962
39093,Lorain OH,38447
39095,Lucas OH,37861
39097,Madison OH,35003
39099,Mahoning OH,37619
39101,Marion OH,30879
39103,Medina OH,45068
39105,Meigs OH,29343
39107,Mercer OH,40149
39109,Miami OH,39282
39111,Monroe OH,28588
39113,Montgomery OH,38490
39115,Morgan OH,26914
39117,Morrow OH,32026
39119,Muskingum OH,33462
39121,Noble OH,23086
39123,Ottawa OH,42755
39125,Paulding OH,33953
39127,Perry OH,30436
39129,Pickaway OH,34137
39131,Pike OH,31090
39133,Portage OH,37707
39135,Preble OH,33569
39137,Putnam OH,40371
39139,Richland OH,32503
39141,Ross OH,30888
39143,Sandusky OH,34418
39145,Scioto OH,30433
39147,Seneca OH,32626
39149,Shelby OH,37428
39151,Stark OH,38051
39153,Summit OH,42110
39155,Trumbull OH,34273
39157,Tuscarawas OH,35567
39159,Union OH,40394
39161,Van Wert OH,34512
39163,Vinton OH,29063
39165,Warren OH,48172
39167,Washington OH,35242
39169,Wayne OH,35593
39171,Williams OH,33964
39173,Wood OH,39444
39175,Wyandot OH,36234
33001,Belknap NH,48499
33003,Carroll NH,46711
33005,Cheshire NH,43481
33007,Coos NH,36473
33009,Grafton NH,48705
33011,Hillsborough NH,51618
33013,Merrimack NH,53607
33015,Rockingham NH,58402
33017,Strafford NH,40974
33019,Sullivan NH,42597
34001,Atlantic NJ,40605
34003,Bergen NJ,70822
34005,Burlington NJ,50422
34007,Camden NJ,43387
34009,Cape May NJ,47053
34011,Cumberland NJ,33239
34013,Essex NJ,52477
34015,Gloucester NJ,44595
34017,Hudson NJ,45418
34019,Hunterdon NJ,74443
34021,Mercer NJ,57702
34023,Middlesex NJ,52119
34025,Monmouth NJ,62315
34027,Morris NJ,78579
34029,Ocean NJ,42585
34031,Passaic NJ,41277
34033,Salem NJ,40529
34035,Somerset NJ,74000
34037,Sussex NJ,50462
34039,Union NJ,53869
34041,Warren NJ,46252
25001,Barnstable MA,55263
25003,Berkshire MA,44417
25005,Bristol MA,43118
25007,Dukes MA,63601
25009,Essex MA,54168
25011,Franklin MA,43634
25013,Hampden MA,42338
25015,Hampshire MA,43557
25017,Middlesex MA,65637
25019,Nantucket MA,82001
25021,Norfolk MA,70998
25023,Plymouth MA,52514
25025,Suffolk MA,62393
25027,Worcester MA,46917
24001,Allegany MD,32857
24003,Anne Arundel MD,56694
24005,Baltimore MD,50564
24005,Baltimore MD,50564
24009,Calvert MD,53042
24011,Caroline MD,37884
24013,Carroll MD,51025
24015,Cecil MD,39691
24017,Charles MD,49774
24019,Dorchester MD,37742
24021,Frederick MD,51171
24023,Garrett MD,35533
24025,Harford MD,48722
24027,Howard MD,69029
24029,Kent MD,46837
24031,Montgomery MD,75767
24033,Prince George's MD,41742
24035,Queen Anne's MD,52747
24039,Somerset MD,26194
24037,St. Mary's MD,49270
24041,Talbot MD,58681
24043,Washington MD,38656
24045,Wicomico MD,34337
24047,Worcester MD,46695
23001,Androscoggin ME,35330
23003,Aroostook ME,34261
23005,Cumberland ME,49369
23007,Franklin ME,33433
23009,Hancock ME,41452
23011,Kennebec ME,38222
23013,Knox ME,41505
23015,Lincoln ME,42242
23017,Oxford ME,32061
23019,Penobscot ME,34860
23021,Piscataquis ME,32871
23023,Sagadahoc ME,42656
23025,Somerset ME,32528
23027,Waldo ME,34547
23029,Washington ME,33821
23031,York ME,42546
26001,Alcona MI,31530
26003,Alger MI,27051
26005,Allegan MI,36459
26007,Alpena MI,33770
26009,Antrim MI,36210
26011,Arenac MI,30575
26013,Baraga MI,29646
26015,Barry MI,36801
26017,Bay MI,35304
26019,Benzie MI,34074
26021,Berrien MI,37633
26023,Branch MI,29727
26025,Calhoun MI,33998
26027,Cass MI,34874
26029,Charlevoix MI,40577
26031,Cheboygan MI,31449
26033,Chippewa MI,29607
26035,Clare MI,28223
26037,Clinton MI,37489
26039,Crawford MI,28283
26041,Delta MI,33309
26043,Dickinson MI,38723
26045,Eaton MI,34752
26047,Emmet MI,43863
26049,Genesee MI,33206
26051,Gladwin MI,29767
26053,Gogebic MI,31643
26055,Grand Traverse MI,39646
26057,Gratiot MI,31475
26059,Hillsdale MI,29502
26061,Houghton MI,30271
26063,Huron MI,39211
26065,Ingham MI,34419
26067,Ionia MI,28073
26069,Iosco MI,30384
26071,Iron MI,34835
26073,Isabella MI,29417
26075,Jackson MI,32167
26077,Kalamazoo MI,39900
26079,Kalkaska MI,29440
26081,Kent MI,45490
26083,Keweenaw MI,38441
26085,Lake MI,26867
26087,Lapeer MI,35093
26089,Leelanau MI,51185
26091,Lenawee MI,33032
26093,Livingston MI,45730
26095,Luce MI,26877
26097,Mackinac MI,35749
26099,Macomb MI,38146
26101,Manistee MI,32463
26103,Marquette MI,34240
26105,Mason MI,33774
26107,Mecosta MI,27964
26109,Menominee MI,35175
26111,Midland MI,46758
26113,Missaukee MI,28571
26115,Monroe MI,37565
26117,Montcalm MI,28558
26119,Montmorency MI,28656
26121,Muskegon MI,31753
26123,Newaygo MI,30302
26125,Oakland MI,57655
26127,Oceana MI,30874
26129,Ogemaw MI,28075
26131,Ontonagon MI,31785
26133,Osceola MI,29542
26135,Oscoda MI,28834
26137,Otsego MI,34470
26139,Ottawa MI,38887
26141,Presque Isle MI,31418
26143,Roscommon MI,30839
26145,Saginaw MI,32230
26151,Sanilac MI,31647
26153,Schoolcraft MI,31810
26155,Shiawassee MI,32176
26147,St. Clair MI,36101
26149,St. Joseph MI,31408
26157,Tuscola MI,30103
26159,Van Buren MI,33880
26161,Washtenaw MI,47603
26163,Wayne MI,34668
26165,Wexford MI,30444
27001,Aitkin MN,31114
27003,Anoka MN,41971
27005,Becker MN,40082
27007,Beltrami MN,33496
27009,Benton MN,37089
27011,Big Stone MN,49316
27013,Blue Earth MN,38482
27015,Brown MN,44796
27017,Carlton MN,34149
27019,Carver MN,58980
27021,Cass MN,38365
27023,Chippewa MN,46115
27025,Chisago MN,38945
27027,Clay MN,37653
27029,Clearwater MN,34316
27031,Cook MN,45024
27033,Cottonwood MN,44114
27035,Crow Wing MN,36126
27037,Dakota MN,49316
27039,Dodge MN,44244
27041,Douglas MN,49625
27043,Faribault MN,44606
27045,Fillmore MN,40711
27047,Freeborn MN,38862
27049,Goodhue MN,44610
27051,Grant MN,51790
27053,Hennepin MN,61311
27055,Houston MN,43644
27057,Hubbard MN,34520
27059,Isanti MN,35705
27061,Itasca MN,35150
27063,Jackson MN,49508
27065,Kanabec MN,33250
27067,Kandiyohi MN,44042
27069,Kittson MN,51861
27071,Koochiching MN,35481
27073,Lac qui Parle MN,52198
27075,Lake MN,39686
27077,Lake of the Woods MN,39512
27079,Le Sueur MN,40455
27081,Lincoln MN,43315
27083,Lyon MN,42244
27085,McLeod MN,40394
27087,Mahnomen MN,33274
27089,Marshall MN,50684
27091,Martin MN,46226
27093,Meeker MN,37102
27095,Mille Lacs MN,34334
27097,Morrison MN,35819
27099,Mower MN,40935
27101,Murray MN,50278
27103,Nicollet MN,42396
27105,Nobles MN,40155
27107,Norman MN,43519
27109,Olmsted MN,47606
27111,Otter Tail MN,39445
27113,Pennington MN,45539
27115,Pine MN,30289
27117,Pipestone MN,47127
27119,Polk MN,42755
27121,Pope MN,43648
27123,Ramsey MN,44671
27125,Red Lake MN,43638
27127,Redwood MN,46144
27129,Renville MN,48757
27131,Rice MN,36878
27133,Rock MN,46902
27135,Roseau MN,43516
27139,Scott MN,49581
27141,Sherburne MN,38798
27143,Sibley MN,42177
27137,St. Louis MN,40575
27145,Stearns MN,39070
27147,Steele MN,39987
27149,Stevens MN,57761
27151,Swift MN,46270
27153,Todd MN,35823
27155,Traverse MN,65029
27157,Wabasha MN,41908
27159,Wadena MN,32564
27161,Waseca MN,41933
27163,Washington MN,52851
27165,Watonwan MN,40275
27167,Wilkin MN,54698
27169,Winona MN,42619
27171,Wright MN,41189
27173,Yellow Medicine MN,47261
29001,Adair MO,28560
29003,Andrew MO,37560
29005,Atchison MO,42460
29007,Audrain MO,32972
29009,Barry MO,28802
29011,Barton MO,33079
29013,Bates MO,33409
29015,Benton MO,30363
29017,Bollinger MO,29656
29019,Boone MO,40476
29021,Buchanan MO,34847
29023,Butler MO,32714
29025,Caldwell MO,30089
29027,Callaway MO,32673
29029,Camden MO,32187
29031,Cape Girardeau MO,38497
29033,Carroll MO,38031
29035,Carter MO,29054
29037,Cass MO,38275
29039,Cedar MO,27091
29041,Chariton MO,37864
29043,Christian MO,33295
29045,Clark MO,32149
29047,Clay MO,40401
29049,Clinton MO,34301
29051,Cole MO,41106
29053,Cooper MO,31941
29055,Crawford MO,28846
29057,Dade MO,29872
29059,Dallas MO,27307
29061,Daviess MO,30158
29063,DeKalb MO,23469
29065,Dent MO,28567
29067,Douglas MO,23724
29069,Dunklin MO,30213
29071,Franklin MO,36172
29073,Gasconade MO,32608
29075,Gentry MO,37131
29077,Greene MO,36417
29079,Grundy MO,30588
29081,Harrison MO,31983
29083,Henry MO,34082
29085,Hickory MO,24599
29087,Holt MO,39879
29089,Howard MO,32430
29091,Howell MO,28511
29093,Iron MO,28533
29095,Jackson MO,38907
29097,Jasper MO,34601
29099,Jefferson MO,35374
29101,Johnson MO,30606
29103,Knox MO,32724
29105,Laclede MO,29399
29107,Lafayette MO,34281
29109,Lawrence MO,28447
29111,Lewis MO,30465
29113,Lincoln MO,32710
29115,Linn MO,33869
29117,Livingston MO,32868
29119,McDonald MO,23537
29121,Macon MO,33045
29123,Madison MO,30554
29125,Maries MO,28329
29127,Marion MO,35456
29129,Mercer MO,30379
29131,Miller MO,29917
29133,Mississippi MO,28269
29135,Moniteau MO,31096
29137,Monroe MO,33369
29139,Montgomery MO,31952
29141,Morgan MO,36291
29143,New Madrid MO,29215
29145,Newton MO,33905
29147,Nodaway MO,27509
29149,Oregon MO,26330
29151,Osage MO,34723
29153,Ozark MO,24042
29155,Pemiscot MO,30705
29157,Perry MO,34161
29159,Pettis MO,32212
29161,Phelps MO,31797
29163,Pike MO,28896
29165,Platte MO,48817
29167,Polk MO,28212
29169,Pulaski MO,39762
29171,Putnam MO,29735
29173,Ralls MO,34650
29175,Randolph MO,33098
29177,Ray MO,33875
29179,Reynolds MO,29697
29181,Ripley MO,29182
29195,Saline MO,35110
29197,Schuyler MO,27110
29199,Scotland MO,33686
29201,Scott MO,36226
29203,Shannon MO,25881
29205,Shelby MO,34902
29183,St. Charles MO,44786
29185,St. Clair MO,26982
29187,St. Francois MO,28920
29189,St. Louis MO,60306
29189,St. Louis MO,60306
29186,Ste. Genevieve MO,35173
29207,Stoddard MO,33620
29209,Stone MO,29450
29211,Sullivan MO,34840
29213,Taney MO,31439
29215,Texas MO,24886
29217,Vernon MO,32720
29219,Warren MO,34164
29221,Washington MO,26018
29223,Wayne MO,26363
29225,Webster MO,28950
29227,Worth MO,32988
29229,Wright MO,27488
21001,Adair KY,26577
21003,Allen KY,27355
21005,Anderson KY,33985
21007,Ballard KY,33134
21009,Barren KY,31506
21011,Bath KY,27510
21013,Bell KY,25903
21015,Boone KY,40579
21017,Bourbon KY,34345
21019,Boyd KY,33317
21021,Boyle KY,32441
21023,Bracken KY,30224
21025,Breathitt KY,27904
21027,Breckinridge KY,30582
21029,Bullitt KY,34582
21031,Butler KY,29679
21033,Caldwell KY,29375
21035,Calloway KY,31854
21037,Campbell KY,39798
21039,Carlisle KY,38129
21041,Carroll KY,30747
21043,Carter KY,26619
21045,Casey KY,25762
21047,Christian KY,35498
21049,Clark KY,34238
21051,Clay KY,25016
21053,Clinton KY,27690
21055,Crittenden KY,30343
21057,Cumberland KY,27093
21059,Daviess KY,36791
21061,Edmonson KY,27652
21063,Elliott KY,19554
21065,Estill KY,27307
21067,Fayette KY,42138
21069,Fleming KY,28496
21071,Floyd KY,31156
21073,Franklin KY,36678
21075,Fulton KY,28466
21077,Gallatin KY,26569
21079,Garrard KY,29377
21081,Grant KY,30182
21083,Graves KY,31830
21085,Grayson KY,28535
21087,Green KY,28254
21089,Greenup KY,34495
21091,Hancock KY,33056
21093,Hardin KY,37522
21095,Harlan KY,27634
21097,Harrison KY,30372
21099,Hart KY,26940
21101,Henderson KY,34367
21103,Henry KY,33710
21105,Hickman KY,33360
21107,Hopkins KY,34131
21109,Jackson KY,24785
21111,Jefferson KY,43030
21113,Jessamine KY,36146
21115,Johnson KY,30101
21117,Kenton KY,43280
21119,Knott KY,27996
21121,Knox KY,25886
21123,Larue KY,30371
21125,Laurel KY,28954
21127,Lawrence KY,28072
21129,Lee KY,24662
21131,Leslie KY,28751
21133,Letcher KY,27543
21135,Lewis KY,25391
21137,Lincoln KY,27630
21139,Livingston KY,32950
21141,Logan KY,30732
21143,Lyon KY,27900
21145,McCracken KY,39397
21147,McCreary KY,20842
21149,McLean KY,34271
21151,Madison KY,31116
21153,Magoffin KY,26879
21155,Marion KY,27997
21157,Marshall KY,34527
21159,Martin KY,25598
21161,Mason KY,33412
21163,Meade KY,32014
21165,Menifee KY,26048
21167,Mercer KY,31631
21169,Metcalfe KY,26276
21171,Monroe KY,28622
21173,Montgomery KY,30066
21175,Morgan KY,23383
21177,Muhlenberg KY,30013
21179,Nelson KY,34076
21181,Nicholas KY,30241
21183,Ohio KY,28581
21185,Oldham KY,52779
21187,Owen KY,30090
21189,Owsley KY,25669
21191,Pendleton KY,37575
21193,Perry KY,33286
21195,Pike KY,32140
21197,Powell KY,25330
21199,Pulaski KY,30692
21201,Robertson KY,27619
21203,Rockcastle KY,25627
21205,Rowan KY,28047
21207,Russell KY,29779
21209,Scott KY,37522
21211,Shelby KY,38110
21213,Simpson KY,31994
21215,Spencer KY,37324
21217,Taylor KY,28948
21219,Todd KY,34704
21221,Trigg KY,34699
21223,Trimble KY,30838
21225,Union KY,31189
21227,Warren KY,33233
21229,Washington KY,30561
21231,Wayne KY,24530
21233,Webster KY,34070
21235,Whitley KY,28896
21237,Wolfe KY,25908
21239,Woodford KY,43064
17001,Adams IL,38942
17003,Alexander IL,26337
17005,Bond IL,30534
17007,Boone IL,38952
17009,Brown IL,27753
17011,Bureau IL,37490
17013,Calhoun IL,35388
17015,Carroll IL,36743
17017,Cass IL,33416
17019,Champaign IL,39687
17021,Christian IL,35618
17023,Clark IL,34790
17025,Clay IL,34438
17027,Clinton IL,38847
17029,Coles IL,34447
17031,Cook IL,48195
17033,Crawford IL,40340
17035,Cumberland IL,36143
17037,DeKalb IL,34176
17039,De Witt IL,41989
17041,Douglas IL,40201
17043,DuPage IL,58577
17045,Edgar IL,33552
17047,Edwards IL,35084
17049,Effingham IL,40988
17051,Fayette IL,29874
17053,Ford IL,43707
17055,Franklin IL,33275
17057,Fulton IL,32859
17059,Gallatin IL,35923
17061,Greene IL,32151
17063,Grundy IL,56383
17065,Hamilton IL,34913
17067,Hancock IL,37575
17069,Hardin IL,32358
17071,Henderson IL,36425
17073,Henry IL,39328
17075,Iroquois IL,37494
17077,Jackson IL,32314
17079,Jasper IL,38980
17081,Jefferson IL,34169
17083,Jersey IL,34303
17085,Jo Daviess IL,39249
17087,Johnson IL,29004
17089,Kane IL,43159
17091,Kankakee IL,34412
17093,Kendall IL,41460
17095,Knox IL,35464
17097,Lake IL,66095
17099,LaSalle IL,36774
17101,Lawrence IL,31856
17103,Lee IL,35492
17105,Livingston IL,37161
17107,Logan IL,31234
17109,McDonough IL,33781
17111,McHenry IL,46018
17113,McLean IL,42710
17115,Macon IL,41267
17117,Macoupin IL,33918
17119,Madison IL,38384
17121,Marion IL,34838
17123,Marshall IL,38216
17125,Mason IL,37121
17127,Massac IL,32698
17129,Menard IL,38024
17131,Mercer IL,40714
17133,Monroe IL,47486
